image, xleft, ybottom, xright, ytop, angle = 0, interpolate = TRUE, list()
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
0,1,1,1,1,0,1,0
1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,0
